date,card,source_mode,application,sample,latency_us,latency_ms
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",1,50639,50.639
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",2,33810,33.810
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",3,46194,46.194
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",4,36953,36.953
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",5,34140,34.140
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",6,37446,37.446
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",7,32574,32.574
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",8,43463,43.463
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",9,33300,33.300
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",10,43332,43.332
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",11,39840,39.840
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",12,39036,39.036
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",13,40398,40.398
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",14,34728,34.728
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",15,41814,41.814
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",16,37571,37.571
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",17,31590,31.590
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",18,40367,40.367
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",19,36102,36.102
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",20,41538,41.538
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",21,31488,31.488
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",22,34991,34.991
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",23,35712,35.712
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",24,38610,38.610
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",25,40481,40.481
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",26,36342,36.342
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",27,33576,33.576
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",28,38381,38.381
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",29,45090,45.090
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",30,33396,33.396
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",31,37074,37.074
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",32,35160,35.160
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",33,40913,40.913
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",34,41172,41.172
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",35,40415,40.415
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",36,34632,34.632
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",37,37763,37.763
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",38,33624,33.624
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",39,40062,40.062
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",40,45420,45.420
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",41,35927,35.927
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",42,43553,43.553
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",43,34362,34.362
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",44,39365,39.365
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",45,45696,45.696
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",46,39558,39.558
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",47,34896,34.896
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",48,39072,39.072
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",49,33564,33.564
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",50,37103,37.103
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",51,35603,35.603
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",52,39420,39.420
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",53,46248,46.248
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",54,40889,40.889
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",55,38123,38.123
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",56,41147,41.147
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",57,39599,39.599
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",58,36576,36.576
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",59,43464,43.464
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",60,31548,31.548
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",61,38874,38.874
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",62,33978,33.978
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",63,40590,40.590
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",64,45654,45.654
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",65,34602,34.602
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",66,36696,36.696
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",67,38232,38.232
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",68,32730,32.730
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",69,45149,45.149
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",70,30288,30.288
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",71,39546,39.546
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",72,35861,35.861
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",73,35897,35.897
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",74,42750,42.750
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",75,34230,34.230
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",76,44916,44.916
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",77,34716,34.716
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",78,45059,45.059
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",79,50201,50.201
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",80,45467,45.467
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",81,42425,42.425
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",82,35675,35.675
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",83,44292,44.292
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",84,42575,42.575
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",85,34056,34.056
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",86,33245,33.245
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",87,48593,48.593
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",88,51084,51.084
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",89,35742,35.742
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",90,38832,38.832
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",91,38363,38.363
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",92,43673,43.673
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",93,37554,37.554
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",94,32406,32.406
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",95,42186,42.186
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",96,31110,31.110
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",97,35657,35.657
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",98,44417,44.417
2026-06-05,Elgato 4K Pro,1080p144,"NitLink (Low-Latency, 117 Hz cap)",99,41238,41.238
